Date,Category,Quantity,UniqueItemCount,Net sales,Gross sales
2022-02-26,Espresso Based,5.0,4,0.0,0.0
2022-02-26,Mie,1.0,1,0.0,0.0
2022-02-26,Milk Based,3.0,3,0.0,0.0
2022-02-26,Other,2.0,1,0.0,0.0
2022-02-26,Signature Based,3.0,2,0.0,0.0
2022-02-26,Snack,5.0,4,0.0,0.0
2022-02-26,Tea Based,5.0,2,0.0,0.0
2022-02-26,Toast,1.0,1,0.0,0.0
2022-02-27,Artisan Tea,4.0,1,0.0,0.0
2022-02-27,Coffee Based,6.0,3,0.0,0.0
2022-02-27,Espresso Based,8.0,4,0.0,0.0
2022-02-27,Main Course,1.0,1,0.0,0.0
2022-02-27,Mie,1.0,1,0.0,0.0
2022-02-27,Milk Based,7.0,4,0.0,0.0
2022-02-27,Other,2.0,1,0.0,0.0
