Date,Quantity,UniqueItemCount,Net sales,Gross sales
2023-01-21,35.0,24,0.0,0.0
2023-01-22,22.0,16,0.0,0.0
2023-01-23,27.0,17,0.0,0.0
2023-01-24,25.0,17,0.0,0.0
2023-01-25,6.0,6,0.0,0.0
2023-01-26,17.0,10,0.0,0.0
2023-01-27,21.0,15,0.0,0.0
2023-01-28,32.0,21,0.0,0.0
2023-01-29,5.0,5,0.0,0.0
2023-01-30,56.0,33,0.0,0.0
2023-01-31,36.0,18,0.0,0.0
2023-02-01,30.0,20,0.0,0.0
2023-02-02,37.0,20,0.0,0.0
2023-02-03,20.0,14,0.0,0.0
2023-02-04,29.0,21,0.0,0.0
2023-02-05,36.0,27,0.0,0.0
2023-02-06,11.0,8,0.0,0.0
2023-02-07,11.0,7,0.0,0.0
2023-02-08,22.0,14,0.0,0.0
2023-02-09,26.0,17,0.0,0.0
2023-02-10,14.0,10,0.0,0.0
2023-02-11,16.0,15,0.0,0.0
2023-02-12,36.0,20,0.0,0.0
2023-02-13,16.0,12,0.0,0.0
2023-02-14,33.0,20,0.0,0.0
2023-02-15,14.0,11,0.0,0.0
2023-02-16,24.0,15,0.0,0.0
2023-02-17,44.0,20,0.0,0.0
2023-02-18,67.0,31,0.0,0.0
2023-02-19,56.0,30,0.0,0.0
2023-02-20,32.0,15,0.0,0.0
2023-02-21,12.0,8,0.0,0.0
2023-02-22,18.0,13,0.0,0.0
2023-02-23,43.0,24,0.0,0.0
2023-02-24,17.0,14,0.0,0.0
2023-02-25,32.0,20,0.0,0.0
2023-02-26,34.0,23,0.0,0.0
2023-02-27,29.0,18,0.0,0.0
2023-02-28,53.0,27,0.0,0.0
2023-03-01,15.0,9,0.0,0.0
2023-03-02,25.0,20,0.0,0.0
2023-03-03,30.0,18,0.0,0.0
2023-03-04,30.0,21,0.0,0.0
2023-03-05,32.0,19,0.0,0.0
2023-03-06,20.0,14,0.0,0.0
2023-03-07,29.0,17,0.0,0.0
2023-03-08,30.0,19,0.0,0.0
2023-03-09,32.0,20,0.0,0.0
2023-03-10,10.0,8,0.0,0.0
2023-03-11,32.0,23,0.0,0.0
2023-03-12,20.0,13,0.0,0.0
2023-03-13,38.0,18,0.0,0.0
2023-03-14,23.0,13,0.0,0.0
2023-03-15,6.0,5,0.0,0.0
2023-03-16,33.0,22,0.0,0.0
2023-03-17,24.0,14,0.0,0.0
2023-03-18,37.0,22,0.0,0.0
2023-03-19,25.0,18,0.0,0.0
2023-03-20,27.0,20,0.0,0.0
2023-03-21,34.0,23,0.0,0.0
2023-03-22,52.0,27,0.0,0.0
2023-03-23,36.0,23,0.0,0.0
2023-03-24,13.0,9,0.0,0.0
2023-03-25,42.0,23,0.0,0.0
2023-03-26,12.0,11,0.0,0.0
2023-03-27,13.0,12,0.0,0.0
2023-03-28,35.0,19,0.0,0.0
2023-03-29,19.0,11,0.0,0.0
2023-03-30,14.0,9,0.0,0.0
2023-03-31,36.0,19,0.0,0.0
2023-04-01,15.0,14,0.0,0.0
2023-04-02,25.0,17,0.0,0.0
2023-04-03,16.0,9,0.0,0.0
2023-04-04,11.0,7,0.0,0.0
2023-04-05,35.0,22,0.0,0.0
2023-04-06,12.0,10,0.0,0.0
2023-04-07,19.0,17,0.0,0.0
2023-04-08,63.0,31,0.0,0.0
2023-04-09,56.0,35,0.0,0.0
2023-04-10,16.0,10,0.0,0.0
2023-04-11,15.0,12,0.0,0.0
2023-04-12,26.0,20,0.0,0.0
2023-04-13,10.0,9,0.0,0.0
2023-04-14,23.0,16,0.0,0.0
2023-04-15,24.0,18,0.0,0.0
2023-04-16,30.0,18,0.0,0.0
2023-04-17,18.0,13,0.0,0.0
2023-04-18,28.0,17,0.0,0.0
2023-04-19,91.0,34,0.0,0.0
2023-04-20,31.0,16,0.0,0.0
2023-04-21,23.0,14,0.0,0.0
2023-04-22,35.0,16,0.0,0.0
2023-04-23,46.0,28,0.0,0.0
2023-04-24,67.0,34,0.0,0.0
2023-04-25,52.0,28,0.0,0.0
2023-04-26,40.0,18,0.0,0.0
2023-04-27,63.0,27,0.0,0.0
2023-04-28,28.0,18,0.0,0.0
2023-04-29,42.0,22,0.0,0.0
2023-04-30,90.0,35,0.0,0.0
2023-05-01,20.0,14,0.0,0.0
2023-05-02,59.0,29,0.0,0.0
2023-05-03,41.0,18,0.0,0.0
2023-05-04,53.0,29,0.0,0.0
2023-05-05,56.0,27,0.0,0.0
2023-05-06,12.0,11,0.0,0.0
2023-05-07,35.0,22,0.0,0.0
2023-05-08,19.0,13,0.0,0.0
2023-05-09,21.0,14,0.0,0.0
2023-05-10,41.0,27,0.0,0.0
2023-05-11,34.0,20,0.0,0.0
2023-05-12,29.0,21,0.0,0.0
2023-05-13,38.0,23,0.0,0.0
2023-05-14,25.0,16,0.0,0.0
2023-05-15,29.0,18,0.0,0.0
2023-05-16,35.0,17,0.0,0.0
2023-05-17,22.0,16,0.0,0.0
2023-05-18,61.0,35,0.0,0.0
2023-05-19,43.0,28,0.0,0.0
2023-05-20,83.0,40,0.0,0.0
2023-05-21,42.0,28,0.0,0.0
2023-05-22,30.0,21,0.0,0.0
2023-05-23,30.0,19,0.0,0.0
2023-05-24,17.0,14,0.0,0.0
2023-05-25,36.0,17,0.0,0.0
2023-05-26,48.0,26,0.0,0.0
2023-05-27,31.0,25,0.0,0.0
2023-05-28,22.0,17,0.0,0.0
2023-05-29,21.0,13,0.0,0.0
2023-05-30,31.0,20,0.0,0.0
2023-05-31,36.0,24,0.0,0.0
2023-06-01,58.0,32,0.0,0.0
2023-06-02,80.0,34,0.0,0.0
2023-06-03,59.0,32,0.0,0.0
2023-06-04,51.0,33,0.0,0.0
2023-06-05,26.0,20,0.0,0.0
2023-06-06,16.0,14,0.0,0.0
2023-06-07,30.0,18,0.0,0.0
2023-06-08,44.0,24,0.0,0.0
2023-06-09,42.0,23,0.0,0.0
2023-06-10,46.0,27,0.0,0.0
2023-06-11,28.0,17,0.0,0.0
2023-06-12,52.0,28,0.0,0.0
2023-06-13,34.0,23,0.0,0.0
2023-06-14,45.0,30,0.0,0.0
2023-06-15,37.0,25,0.0,0.0
2023-06-16,30.0,19,0.0,0.0
2023-06-17,37.0,22,0.0,0.0
2023-06-18,33.0,25,0.0,0.0
2023-06-19,54.0,30,0.0,0.0
2023-06-20,21.0,11,0.0,0.0
2023-06-21,49.0,31,0.0,0.0
2023-06-22,29.0,20,0.0,0.0
2023-06-23,23.0,16,0.0,0.0
2023-06-24,48.0,21,0.0,0.0
