Date,Receipt number,Receipt type,Category,SKU,Item,Variant,Modifiers applied,Quantity,Gross sales,Discounts,Net sales,Cost of goods,Gross profit,Taxes,Dining option,POS,Store,Cashier name,Customer name,Customer contacts,Comment,Status
7/10/25 8:55 PM,1-2921,Sale,Snack,80006,Tempe Mendoan,,,1.000,16000.00,0.00,16000.00,8512.00,7488.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 8:55 PM,1-2921,Sale,Main Course,12005,Ayam Curry,,,1.000,25000.00,0.00,25000.00,14083.00,10917.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 8:55 PM,1-2921,Sale,Tea Based,60004,Lychee Tea Ice,,,1.000,16000.00,0.00,16000.00,4975.00,11025.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,Ls,Closed
7/10/25 8:55 PM,1-2921,Sale,Espresso Based,30008,Cappucino,,,1.000,23000.00,0.00,23000.00,8208.00,14792.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 8:55 PM,1-2921,Sale,Snack,80004,Tahu Tuna,,,1.000,15000.00,0.00,15000.00,9653.00,5347.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 8:55 PM,1-2921,Sale,Main Course,12001,Nasi Cumi Asin,,,1.000,23000.00,0.00,23000.00,12375.00,10625.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 8:55 PM,1-2921,Sale,Coffee Based,10014,V60 colombia,,,2.000,56000.00,0.00,56000.00,16000.00,40000.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 8:55 PM,1-2921,Sale,Espresso Based,30008,Cappucino,,,1.000,23000.00,0.00,23000.00,8208.00,14792.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 8:55 PM,1-2921,Sale,Add kitchen,10012,Add Nasi,,,1.000,6000.00,0.00,6000.00,2000.00,4000.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 8:40 PM,1-2920,Sale,Signature Based,40002,Kopi Susu Ice,,,2.000,40000.00,0.00,40000.00,15470.00,24530.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 8:39 PM,1-2919,Sale,Signature Based,40004,Husgendam Ice,,,1.000,23000.00,0.00,23000.00,9179.00,13821.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 8:39 PM,1-2919,Sale,Signature Based,40005,Kinasih,,,1.000,24000.00,0.00,24000.00,10347.00,13653.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 8:33 PM,1-2918,Sale,Signature Based,40009,Nirmala Hot,,,1.000,24000.00,0.00,24000.00,4784.00,19216.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 7:54 PM,1-2917,Sale,Milk Based,20005,Coklat Ice,,,1.000,23000.00,0.00,23000.00,7376.00,15624.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 7:54 PM,1-2917,Sale,Signature Based,40002,Kopi Susu Ice,,,1.000,20000.00,0.00,20000.00,7735.00,12265.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 7:48 PM,1-2916,Sale,Coffee Based,10003,Vietnam Drip,,,1.000,17000.00,0.00,17000.00,3415.00,13585.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 7:48 PM,1-2916,Sale,Espresso Based,30006,Latte Hot,,,1.000,25000.00,0.00,25000.00,8640.00,16360.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 7:48 PM,1-2916,Sale,Espresso Based,30006,Latte Hot,,,1.000,25000.00,0.00,25000.00,8640.00,16360.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 7:39 PM,1-2915,Sale,Milk Based,20006,Matcha Ice,,,1.000,23000.00,0.00,23000.00,7376.00,15624.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 7:30 PM,1-2914,Sale,Tea Based,60004,Lychee Tea Ice,,,1.000,16000.00,0.00,16000.00,4975.00,11025.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 7:30 PM,1-2914,Sale,Tea Based,60001,Lemon Hot,,,1.000,15000.00,0.00,15000.00,1284.00,13716.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 7:30 PM,1-2914,Sale,Main Course,12006,Ayam Mentega,,,1.000,26000.00,0.00,26000.00,10732.00,15268.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 7:12 PM,1-2913,Sale,Coffee Based,10001,Tubruk,,,1.000,15000.00,0.00,15000.00,2396.00,12604.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 7:01 PM,1-2912,Sale,Tea Based,60006,Milk Tea Ice,,,1.000,16000.00,0.00,16000.00,2790.00,13210.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 7:01 PM,1-2912,Sale,Coffee Based,10001,Tubruk,,,1.000,15000.00,0.00,15000.00,2396.00,12604.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 6:44 PM,1-2911,Sale,Snack,80007,Donat,,,1.000,16000.00,0.00,16000.00,8483.00,7517.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 6:44 PM,1-2911,Sale,Main Course,12006,Ayam Mentega,,,1.000,26000.00,0.00,26000.00,10732.00,15268.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 6:44 PM,1-2911,Sale,Milk Based,20008,Red Velvet Ice,,,1.000,23000.00,0.00,23000.00,7214.00,15786.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 6:44 PM,1-2911,Sale,Coffee Based,10003,Vietnam Drip,,,1.000,17000.00,0.00,17000.00,3415.00,13585.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 6:28 PM,1-2910,Sale,Signature kichen,70003,Waffle Matcha,,,1.000,25000.00,0.00,25000.00,12966.00,12034.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 6:28 PM,1-2910,Sale,Milk Based,20002,Matcha Hot,,,1.000,23000.00,0.00,23000.00,5838.00,17162.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 6:28 PM,1-2910,Sale,Espresso Based,30008,Cappucino,,,1.000,23000.00,0.00,23000.00,8208.00,14792.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 6:28 PM,1-2910,Sale,Toast,11001,Roti Bakar Coklat,,,1.000,13000.00,0.00,13000.00,5955.00,7045.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
